;ARMAZEM;;;;LOJA_1;;;;;LOJA_2;;;;;LOJA_3
DIA;entra;sai;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO;                        chega;vende;quebra;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO
 98;  0;  0;233;  0; 40;  5;  0; 35;  0;  0;  2;  0; 16;  0; 40;  1;  0; 39;  0;19820.983
 99;  0; 40;193;  0;  0;  3;  0; 32;  0;  0;  4;  0; 12; 40;  0;  5;  0; 34;  0;20166.720
100;  0;  0;193;  0;  0;  4;  0; 28;  0;  0;  1;  0; 11;  0;  0;  3;  0; 31;  0;20395.591
101;  0;  0;193;  0;  0;  1;  0; 27;  0;  0;  1;  0; 10;  0;  0;  4;  0; 27;  0;20564.750
102;  0;  0;193;  0;  0;  5;  0; 22;  0; 40;  0;  0; 50;  0;  0;  0;  0; 27;  0;20702.230
103;  0;  0;193;  0;  0;  5;  0; 17;  0;  0;  3;  0; 47;  0;  0;  2;  0; 25;  0;20990.190
104;  0;  0;193;  0;  0;  2;  0; 15;  0;  0;  1;  0; 46;  0;  0;  3;  0; 22;  0;21158.438
105;  0;  0;193;  0;  0;  1;  0; 14;  0;  0;  2;  0; 44;  0;  0;  2;  0; 20;  0;21296.925
106;  0;  0;193;  0;  0;  3;  0; 11;  0;  0;  2;  0; 42;  0;  0;  4;  0; 16;  0;21555.844
107;  0;  0;193;  0;  0;  0;  0; 11;  0;  0;  3;  0; 39;  0;  0;  3;  0; 13;  0;21725.051
108;  0;  0;193;  0;  0;  0;  0; 11;  0;  0;  3;  0; 36;  0;  0;  2;  0; 11;  0;21864.497
109;  0;  0;193;  0;  0;  4;  0;  7;  0;  0;  0;  0; 36;  0;  0;  5;  0;  6;  0;22124.375
110;  0;  0;193;  0;  0;  4;  0;  3;  0;  0;  0;  0; 36;  0;  0;  1;  0;  5;  0;22264.492
111;  0; 80;113;  0;  0;  3;  1;  0; 40;  0;  2;  0; 34;  0;  0;  5;  0;  0; 40;22552.811
112;  0;  0;113;  0;  0;  0;  2;  0;  0;  0;  2;  0; 32;  0;  0;  0;  4;  0;  0;22606.726
113;  0;  0;113;  0;  0;  0;  1;  0;  0;  0;  2;  0; 30;  0;  0;  0;  5;  0;  0;22660.737
114;  0;  0;113;  0; 40;  5;  0; 35;  0;  0;  1;  0; 29;  0; 40;  2;  0; 38;  0;22891.295
115;  0; 40; 73;276;  0;  0;  0; 35;  0;  0;  3;  0; 26; 40;  0;  1;  0; 37;  0;22800.907
116;  0;  0; 73;  0;  0;  5;  0; 30;  0;  0;  1;  0; 25;  0;  0;  0;  0; 37;  0;22973.556
117;  0;  0; 73;  0;  0;  1;  0; 29;  0;  0;  4;  0; 21;  0;  0;  0;  0; 37;  0;23116.445
118;  0;  0; 73;  0;  0;  4;  0; 25;  0; 40;  2;  0; 59;  0;  0;  2;  0; 35;  0;23347.799
119;  0;  0; 73;  0;  0;  2;  0; 23;  0;  0;  1;  0; 58;  0;  0;  2;  0; 33;  0;23489.393
