;ARMAZEM;;;;LOJA_1;;;;;LOJA_2;;;;;LOJA_3
DIA;entra;sai;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO;                        chega;vende;quebra;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO
103;  0;  0;239;  0;  0;  0;  0; 12;  0;  0;  1;  0;  1;  0;  0;  2;  0;  7;  0;21130.378
104;  0;  0;239;  0;  0;  4;  0;  8;  0; 17;  2;  0; 16;  0;  0;  2;  0;  5;  0;21359.362
105;  0; 34;205;  0;  0;  5;  0;  3; 17;  0;  2;  0; 14;  0;  0;  4;  0;  1; 17;21674.742
106;  0;  0;205;  0;  0;  3;  1;  0;  0;  0;  1;  0; 13;  0;  0;  1;  4;  0;  0;21815.863
107;  0;  0;205;  0;  0;  0;  2;  0;  0;  0;  0;  0; 13;  0;  0;  0;  5;  0;  0;21806.984
108;  0; 17;188;  0; 17;  1;  0; 16;  0;  0;  4;  0;  9; 17; 17;  3;  0; 14;  0;22034.792
109;  0;  0;188;  0;  0;  0;  0; 16;  0;  0;  2;  0;  7;  0;  0;  1;  0; 13;  0;22115.495
110;  0;  0;188;  0;  0;  5;  0; 11;  0;  0;  1;  0;  6;  0;  0;  4;  0;  9;  0;22406.677
111;  0;  0;188;  0;  0;  3;  0;  8;  0; 17;  2;  0; 21;  0;  0;  3;  0;  6;  0;22637.427
112;  0; 34;154;  0;  0;  4;  0;  4; 17;  0;  4;  0; 17;  0;  0;  3;  0;  3; 17;22954.574
113;  0;  0;154;  0;  0;  4;  1;  0;  0;  0;  1;  0; 16;  0;  0;  3;  0;  0;  0;23187.605
114;  0;  0;154;  0;  0;  0;  3;  0;  0;  0;  1;  0; 15;  0;  0;  0;  5;  0;  0;23210.683
115;  0; 17;137;  0; 17;  3;  0; 14;  0;  0;  5;  0; 10; 17; 17;  0;  0; 17;  0;23440.450
116;  0;  0;137;  0;  0;  1;  0; 13;  0;  0;  4;  0;  6;  0;  0;  3;  0; 14;  0;23673.350
117;  0;  0;137;  0;  0;  1;  0; 12;  0;  0;  0;  0;  6;  0;  0;  2;  0; 12;  0;23756.395
118;  0;  0;137;  0;  0;  3;  0;  9;  0; 17;  3;  0; 20;  0;  0;  3;  0;  9;  0;24019.055
119;  0; 34;103;  0;  0;  1;  0;  8; 17;  0;  3;  0; 17;  0;  0;  0;  0;  9; 17;24127.777
120;  0;  0;103;  0;  0;  0;  0;  8;  0;  0;  4;  0; 13;  0;  0;  3;  0;  6;  0;24332.334
121;  0;  0;103;  0;  0;  1;  0;  7;  0;  0;  5;  0;  8;  0;  0;  0;  0;  6;  0;24507.179
122;  0; 17; 86;276; 17;  1;  0; 23;  0;  0;  0;  0;  8; 17; 17;  2;  0; 21;  0;24388.472
123;  0;  0; 86;  0;  0;  1;  0; 22;  0;  0;  2;  0;  6;  0;  0;  0;  0; 21;  0;24472.659
124;  0;  0; 86;  0;  0;  2;  0; 20;  0;  0;  4;  0;  2;  0;  0;  2;  0; 19;  0;24707.230
125;  0;  0; 86;  0;  0;  2;  0; 18;  0; 17;  0;  0; 19;  0;  0;  0;  0; 19;  0;24761.082
126;  0; 34; 52;  0;  0;  3;  0; 15; 17;  0;  3;  0; 16;  0;  0;  3;  0; 16; 17;25021.234
127;  0;  0; 52;  0;  0;  4;  0; 11;  0;  0;  3;  0; 13;  0;  0;  1;  0; 15;  0;25257.270
128;  0;  0; 52;  0;  0;  5;  0;  6;  0;  0;  1;  0; 12;  0;  0;  3;  0; 12;  0;25523.737
129;  0; 17; 35;  0; 17;  0;  0; 23;  0;  0;  5;  0;  7; 17; 17;  4;  0; 25;  0;25786.941
130;  0;  0; 35;  0;  0;  2;  0; 21;  0;  0;  0;  0;  7;  0;  0;  0;  0; 25;  0;25842.990
131;  0;  0; 35;  0;  0;  0;  0; 21;  0;  0;  4;  0;  3;  0;  0;  3;  0; 22;  0;26049.375
132;  0;  0; 35;  0;  0;  0;  0; 21;  0; 17;  0;  0; 20;  0;  0;  1;  0; 21;  0;26074.993
133;  0; 34;  1;  0;  0;  3;  0; 18; 17;  0;  0;  0; 20;  0;  0;  3;  0; 18; 17;26246.767
134;  0;  0;  1;  0;  0;  5;  0; 13;  0;  0;  0;  0; 20;  0;  0;  0;  0; 18;  0;26394.282
135;  0;  0;  1;  0;  0;  5;  0;  8;  0;  0;  1;  0; 19;  0;  0;  4;  0; 14;  0;26692.276
136;276; 17;260;  0; 17;  3;  0; 22;  0;  0;  3;  0; 16; 17; 17;  5;  0; 26;  0;27005.986
137;  0;  0;260;  0;  0;  3;  0; 19;  0;  0;  3;  0; 13;  0;  0;  4;  0; 22;  0;27292.926
138;  0;  0;260;  0;  0;  0;  0; 19;  0;  0;  1;  0; 12;  0;  0;  4;  0; 18;  0;27430.105
139;  0;  0;260;  0;  0;  5;  0; 14;  0; 17;  3;  0; 26;  0;  0;  3;  0; 15;  0;27746.997
140;  0; 34;226;  0;  0;  1;  0; 13; 17;  0;  4;  0; 22;  0;  0;  3;  0; 12; 17;27970.142
141;  0;  0;226;  0;  0;  5;  0;  8;  0;  0;  3;  0; 19;  0;  0;  1;  0; 11;  0;28229.218
142;  0;  0;226;  0;  0;  4;  0;  4;  0;  0;  4;  0; 15;  0;  0;  0;  0; 11;  0;28458.678
143;  0; 17;209;  0; 17;  2;  0; 19;  0;  0;  3;  0; 12; 17; 17;  3;  0; 25;  0;28684.825
144;  0;  0;209;  0;  0;  2;  0; 17;  0;  0;  4;  0;  8;  0;  0;  2;  0; 23;  0;28914.107
145;  0;  0;209;  0;  0;  3;  0; 14;  0;  0;  3;  0;  5;  0;  0;  2;  0; 21;  0;29143.772
146;  0;  0;209;  0;  0;  2;  0; 12;  0; 17;  4;  0; 18;  0;  0;  3;  0; 18;  0;29403.053
147;  0;  0;209;  0;  0;  4;  0;  8;  0;  0;  0;  0; 18;  0;  0;  0;  0; 18;  0;29512.526
148;  0;  0;209;  0;  0;  0;  0;  8;  0;  0;  0;  0; 18;  0;  0;  5;  0; 13;  0;29652.239
149;  0; 34;175;  0;  0;  2;  0;  6; 17;  0;  4;  0; 14;  0;  0;  2;  0; 11; 17;29878.205
150;  0; 17;158;  0;  0;  2;  0;  4;  0;  0;  2;  0; 12; 17;  0;  4;  0;  7;  0;30107.989
151;  0;  0;158;  0;  0;  3;  0;  1;  0;  0;  0;  0; 12;  0;  0;  3;  0;  4;  0;30280.811
152;  0;  0;158;  0; 17;  1;  0; 17;  0;  0;  0;  0; 12;  0; 17;  2;  0; 19;  0;30362.146
153;  0;  0;158;  0;  0;  2;  0; 15;  0; 17;  2;  0; 27;  0;  0;  4;  0; 15;  0;30593.050
154;  0; 34;124;  0;  0;  4;  0; 11; 17;  0;  2;  0; 25;  0;  0;  4;  0; 11; 17;30880.302
155;  0;  0;124;  0;  0;  1;  0; 10;  0;  0;  5;  0; 20;  0;  0;  1;  0; 10;  0;31083.391
156;  0;  0;124;  0;  0;  4;  0;  6;  0;  0;  2;  0; 18;  0;  0;  4;  0;  6;  0;31376.958
157;  0; 17;107;  0; 17;  5;  0; 18;  0;  0;  0;  0; 18; 17; 17;  3;  0; 20;  0;31607.214
158;  0;  0;107;276;  0;  1;  0; 17;  0;  0;  0;  0; 18;  0;  0;  2;  0; 18;  0;31490.364
159;  0;  0;107;  0;  0;  3;  0; 14;  0;  0;  1;  0; 17;  0;  0;  2;  0; 16;  0;31663.801
160;  0;  0;107;  0;  0;  4;  0; 10;  0; 17;  4;  0; 30;  0;  0;  2;  0; 14;  0;31956.902
161;  0; 34; 73;  0;  0;  1;  0;  9; 17;  0;  5;  0; 25;  0;  0;  0;  0; 14; 17;32126.161
162;  0;  0; 73;  0;  0;  3;  0;  6;  0;  0;  0;  0; 25;  0;  0;  0;  0; 14;  0;32211.064
163;  0;  0; 73;  0;  0;  5;  0;  1;  0;  0;  5;  0; 20;  0;  0;  5;  0;  9;  0;32656.685
164;  0; 17; 56;  0; 17;  5;  0; 13;  0;  0;  5;  0; 15; 17; 17;  0;  0; 26;  0;32949.091
165;  0;  0; 56;  0;  0;  2;  0; 11;  0;  0;  0;  0; 15;  0;  0;  4;  0; 22;  0;33124.534
166;  0;  0; 56;  0;  0;  4;  0;  7;  0;  0;  5;  0; 10;  0;  0;  1;  0; 21;  0;33420.457
167;  0;  0; 56;  0;  0;  5;  0;  2;  0; 17;  2;  0; 25;  0;  0;  1;  0; 20;  0;33655.948
168;  0; 34; 22;  0;  0;  1;  0;  1; 17;  0;  5;  0; 20;  0;  0;  4;  0; 16; 17;33947.788
169;  0;  0; 22;  0;  0;  1;  1;  0;  0;  0;  2;  0; 18;  0;  0;  5;  0; 11;  0;34185.512
170;  0;  0; 22;  0;  0;  0;  3;  0;  0;  0;  0;  0; 18;  0;  0;  3;  0;  8;  0;34273.379
171;  0; 17;  5;  0; 17;  1;  0; 16;  0;  0;  2;  0; 16; 17; 17;  1;  0; 24;  0;34387.743
172;276;  0;281;  0;  0;  0;  0; 16;  0;  0;  4;  0; 12;  0;  0;  5;  0; 19;  0;34644.172
173;  0;  0;281;  0;  0;  2;  0; 14;  0;  0;  5;  0;  7;  0;  0;  4;  0; 15;  0;34961.129
174;  0;  0;281;  0;  0;  0;  0; 14;  0; 17;  1;  0; 23;  0;  0;  2;  0; 13;  0;35037.415
